emotion_name,review
anger,"Didn't get my refund, so frustrating"
fear,Ordering for the first time felt risky
neutral,App interface is okay
fear,Thought the product might be duplicate
disgust,Product was dirty and unhygienic
shame,"Accidentally posted a review, felt awkward"
neutral,App interface is okay
disgust,Customer service behavior was disgusting
joy,"Great quality, will recommend to others"
anger,"App keeps crashing, very irritating"
joy,"The product was amazing, I loved it"
fear,Feels risky to share card details
fear,The delivery guy looked suspicious
sadness,My money got wasted
joy,"Got a discount, made my day"
sadness,Seller sent the wrong item
anger,Felt like I was being cheated
fear,Feels risky to share card details
joy,Service made me really happy
fear,Afraid of getting fake products
fear,Scared of losing money online
sadness,Very disappointed with this order
disgust,Customer service behavior was disgusting
disgust,Seems like someone used this before
disgust,Seems like someone used this before
neutral,Didn’t face any issue
joy,"Great quality, will recommend to others"
disgust,"Food item was stale, absolutely terrible"
disgust,"Food item was stale, absolutely terrible"
neutral,An average experience overall
shame,Felt awkward returning it
shame,"People made fun of my choice, I felt ashamed"
anger,Packaging was damaged
fear,Scared of losing money online
anger,Replacement process was super slow
shame,"Accidentally posted a review, felt awkward"
sadness,Didn't get the expected quality
sadness,Customer care ignored my issue
sadness,Product didn’t look like the photo
anger,Packaging was damaged
anger,"App keeps crashing, very irritating"
disgust,Customer service behavior was disgusting
disgust,"Quality was horrible, felt gross"
shame,Felt embarrassed using it
joy,App experience was great and smooth
joy,App experience was great and smooth
anger,"App keeps crashing, very irritating"
sadness,Very disappointed with this order
disgust,Product was dirty and unhygienic
joy,App experience was great and smooth
disgust,Product was dirty and unhygienic
fear,Ordering for the first time felt risky
neutral,An average experience overall
fear,Thought the product might be duplicate
anger,Packaging was damaged
disgust,Smelled so bad I couldn’t use it
sadness,Customer care ignored my issue
sadness,Waited a lot but order got cancelled
neutral,Nothing special about it
fear,"Payment got stuck, I panicked"
fear,"Payment got stuck, I panicked"
joy,Service made me really happy
anger,"Didn't get my refund, so frustrating"
shame,Even writing this review feels embarrassing
fear,I always feel nervous ordering online
anger,The service was terrible
disgust,Seems like someone used this before
disgust,Product was dirty and unhygienic
disgust,The product was disgusting to look at
surprise,"Got a free gift, wow!"
joy,"Quality was superb, totally worth the money"
surprise,Discount was shocking but awesome
joy,"Great quality, will recommend to others"
anger,The service was terrible
disgust,Product was dirty and unhygienic
joy,Service made me really happy
joy,"Delivered on time, very happy"
disgust,Smelled so bad I couldn’t use it
disgust,"Quality was horrible, felt gross"
surprise,Packaging was unexpectedly good
disgust,Customer service behavior was disgusting
fear,Thought the product might be duplicate
disgust,Smelled so bad I couldn’t use it
surprise,Product turned out better than reviews
joy,"Delivered on time, very happy"
anger,Customer support was useless
shame,This purchase makes me feel dumb
disgust,Seems like someone used this before
neutral,Overall it’s fine
joy,"Got a discount, made my day"
disgust,Product was dirty and unhygienic
fear,Feels risky to share card details
neutral,An average experience overall
neutral,Could have been a bit better
sadness,Very disappointed with this order
sadness,Very disappointed with this order
shame,Realized I made a bad purchase decision
disgust,Seems like someone used this before
anger,Customer support was useless
shame,Felt stupid calling customer care for this
fear,Was worried about being scammed
shame,Felt awkward returning it
joy,"Quality was superb, totally worth the money"
surprise,"Got a free gift, wow!"
neutral,Didn’t face any issue
surprise,Didn’t expect such a good product at this price
surprise,Product quality surprised me
fear,I always feel nervous ordering online
shame,Realized I made a bad purchase decision
sadness,My money got wasted
surprise,Product turned out better than reviews
surprise,Discount was shocking but awesome
surprise,Product turned out better than reviews
joy,"Got a discount, made my day"
shame,Felt ashamed for ordering such a cheap product
surprise,Packaging was unexpectedly good
sadness,My money got wasted
joy,"The product was amazing, I loved it"
neutral,The product was okay
surprise,The whole process was smoother than I thought
joy,"Quality was superb, totally worth the money"
fear,Afraid of getting fake products
anger,The service was terrible
anger,"Didn't get my refund, so frustrating"
disgust,Smelled so bad I couldn’t use it
joy,"Great quality, will recommend to others"
shame,Felt ashamed for ordering such a cheap product
disgust,"Parcel smelled awful, pathetic experience"
joy,Customer care was very helpful
surprise,Didn’t expect it to deliver so fast
fear,Afraid of getting fake products
fear,I feared my transaction might fail
joy,"Great quality, will recommend to others"
shame,Felt stupid calling customer care for this
fear,The delivery guy looked suspicious
fear,"Payment got stuck, I panicked"
sadness,"The item arrived broken, felt sad"
disgust,Smelled so bad I couldn’t use it
fear,Feels risky to share card details
disgust,Seems like someone used this before
joy,"Got a discount, made my day"
fear,"Payment got stuck, I panicked"
shame,Felt ashamed for ordering such a cheap product
anger,"App keeps crashing, very irritating"
disgust,"Quality was horrible, felt gross"
anger,Felt like I was being cheated
joy,App experience was great and smooth
neutral,Neither good nor bad
joy,Did not expect such a good product
neutral,The service was fine
neutral,An average experience overall
fear,I feared my transaction might fail
disgust,"Food item was stale, absolutely terrible"
anger,"App keeps crashing, very irritating"
fear,"Payment got stuck, I panicked"
neutral,The product was okay
disgust,"Quality was horrible, felt gross"
anger,Felt like I was being cheated
surprise,Product quality surprised me
shame,Felt awkward returning it
sadness,"The item arrived broken, felt sad"
disgust,Felt nauseous after opening the package
shame,Felt ashamed for ordering such a cheap product
anger,Packaging was damaged
sadness,"No refund, very upsetting"
neutral,Delivered on time
neutral,Could have been a bit better
shame,"Accidentally posted a review, felt awkward"
surprise,The whole process was smoother than I thought
neutral,Didn’t face any issue
shame,Felt embarrassed using it
sadness,Seller sent the wrong item
anger,"Product turned out defective, so mad"
joy,"Great quality, will recommend to others"
neutral,App interface is okay
fear,I feared my transaction might fail
surprise,Product turned out better than reviews
neutral,Neither good nor bad
neutral,App interface is okay
sadness,Very disappointed with this order
neutral,Delivered on time
anger,"App keeps crashing, very irritating"
fear,Was worried about being scammed
neutral,Overall it’s fine
neutral,Could have been a bit better
sadness,My money got wasted
fear,Afraid of getting fake products
fear,The delivery guy looked suspicious
disgust,Fake reviews made me sick
fear,Thought the product might be duplicate
joy,"The product was amazing, I loved it"
fear,Scared of losing money online
shame,Felt embarrassed using it
anger,"Didn't get my refund, so frustrating"
surprise,Didn’t expect it to deliver so fast
surprise,Packaging was unexpectedly good
fear,Scared of losing money online
anger,Packaging was damaged
joy,"Quality was superb, totally worth the money"
joy,"The product was amazing, I loved it"
surprise,Packaging was unexpectedly good
fear,Afraid of getting fake products
sadness,My money got wasted
disgust,Product was dirty and unhygienic
anger,The service was terrible
joy,"Got a discount, made my day"
fear,Afraid of getting fake products
shame,"People made fun of my choice, I felt ashamed"
neutral,The service was fine
sadness,Waited a lot but order got cancelled
fear,Feels risky to share card details
joy,"Great quality, will recommend to others"
sadness,Product didn’t look like the photo
shame,Felt embarrassed using it
anger,Customer support was useless
disgust,Felt nauseous after opening the package
anger,Felt like I was being cheated
surprise,Packaging was unexpectedly good
sadness,"No refund, very upsetting"
joy,Service made me really happy
joy,Packaging made me smile
sadness,"No refund, very upsetting"
joy,Packaging made me smile
sadness,Waited a lot but order got cancelled
anger,"Product turned out defective, so mad"
anger,"Delivery was very late, really angry"
disgust,"Quality was horrible, felt gross"
sadness,Waited a lot but order got cancelled
anger,Packaging was damaged
anger,The service was terrible
joy,"Got a discount, made my day"
neutral,Neither good nor bad
neutral,Neither good nor bad
joy,Service made me really happy
surprise,"Delivery guy was polite, nice surprise"
fear,Scared of losing money online
sadness,Waited a lot but order got cancelled
joy,"Got a discount, made my day"
surprise,Didn’t expect such a good product at this price
anger,"App keeps crashing, very irritating"
surprise,Didn’t expect it to deliver so fast
disgust,Fake reviews made me sick
sadness,Seller sent the wrong item
shame,Felt awkward returning it
neutral,Could have been a bit better
joy,Service made me really happy
sadness,My money got wasted
fear,Scared of losing money online
fear,I feared my transaction might fail
shame,Felt awkward returning it
fear,Afraid of getting fake products
anger,Packaging was damaged
disgust,Product was dirty and unhygienic
joy,App experience was great and smooth
disgust,Felt nauseous after opening the package
shame,Realized I made a bad purchase decision
shame,Realized I made a bad purchase decision
surprise,"Got a free gift, wow!"
fear,The delivery guy looked suspicious
sadness,Didn't get the expected quality
surprise,Discount was shocking but awesome
surprise,Product quality surprised me
surprise,Didn’t expect it to deliver so fast
disgust,"Food item was stale, absolutely terrible"
shame,Felt embarrassed using it
fear,Scared of losing money online
fear,"Payment got stuck, I panicked"
anger,Felt like I was being cheated
shame,"Product failed in front of friends, so embarrassing"
fear,I always feel nervous ordering online
shame,Felt awkward returning it
anger,Seller sent the wrong product
surprise,Discount was shocking but awesome
shame,This purchase makes me feel dumb
anger,"Didn't get my refund, so frustrating"
anger,The service was terrible
neutral,Nothing special about it
joy,Customer care was very helpful
neutral,Overall it’s fine
disgust,Customer service behavior was disgusting
sadness,Very disappointed with this order
neutral,The product was okay
neutral,The product was okay
joy,"Quality was superb, totally worth the money"
disgust,Smelled so bad I couldn’t use it
fear,Afraid of getting fake products
surprise,Impressed by the app design
fear,"Payment got stuck, I panicked"
anger,Seller sent the wrong product
shame,Felt awkward returning it
anger,Felt like I was being cheated
joy,"Great quality, will recommend to others"
surprise,The whole process was smoother than I thought
fear,Scared of losing money online
anger,"Delivery was very late, really angry"
anger,Felt like I was being cheated
neutral,The product was okay
disgust,Felt nauseous after opening the package
joy,App experience was great and smooth
anger,"Didn't get my refund, so frustrating"
anger,Seller sent the wrong product
neutral,Overall it’s fine
shame,Felt ashamed for ordering such a cheap product
shame,"People made fun of my choice, I felt ashamed"
fear,The delivery guy looked suspicious
sadness,Regret buying this product
surprise,The whole process was smoother than I thought
disgust,Seems like someone used this before
joy,"Great quality, will recommend to others"
fear,Scared of losing money online
surprise,The whole process was smoother than I thought
shame,Felt stupid calling customer care for this
disgust,Product was dirty and unhygienic
surprise,The whole process was smoother than I thought
surprise,Didn’t expect such a good product at this price
fear,The delivery guy looked suspicious
surprise,Discount was shocking but awesome
fear,The delivery guy looked suspicious
fear,Thought the product might be duplicate
neutral,Nothing special about it
surprise,"Got a free gift, wow!"
disgust,Smelled so bad I couldn’t use it
neutral,Didn’t face any issue
sadness,Seller sent the wrong item
fear,"Payment got stuck, I panicked"
anger,Replacement process was super slow
joy,Customer care was very helpful
joy,"Quality was superb, totally worth the money"
anger,Felt like I was being cheated
shame,"Product failed in front of friends, so embarrassing"
sadness,"The item arrived broken, felt sad"
neutral,Delivered on time
anger,Felt like I was being cheated
shame,"Product failed in front of friends, so embarrassing"
shame,Felt ashamed for ordering such a cheap product
sadness,Didn't get the expected quality
joy,"Great quality, will recommend to others"
shame,"Accidentally posted a review, felt awkward"
sadness,Very disappointed with this order
surprise,Product turned out better than reviews
neutral,The service was fine
disgust,"Quality was horrible, felt gross"
surprise,Didn’t expect such a good product at this price
neutral,An average experience overall
fear,"Payment got stuck, I panicked"
joy,Service made me really happy
joy,App experience was great and smooth
anger,Felt like I was being cheated
joy,"Got a discount, made my day"
joy,Customer care was very helpful
sadness,Product didn’t look like the photo
disgust,Fake reviews made me sick
fear,"Payment got stuck, I panicked"
surprise,Didn’t expect such a good product at this price
joy,"Quality was superb, totally worth the money"
fear,Scared of losing money online
neutral,An average experience overall
joy,App experience was great and smooth
sadness,"No refund, very upsetting"
sadness,"The item arrived broken, felt sad"
joy,App experience was great and smooth
neutral,The product was okay
joy,"Delivered on time, very happy"
surprise,Didn’t expect it to deliver so fast
neutral,Neither good nor bad
sadness,"The item arrived broken, felt sad"
neutral,The product was okay
fear,The delivery guy looked suspicious
disgust,Smelled so bad I couldn’t use it
sadness,"No refund, very upsetting"
sadness,Product didn’t look like the photo
disgust,Seems like someone used this before
joy,"The product was amazing, I loved it"
disgust,Customer service behavior was disgusting
surprise,The whole process was smoother than I thought
surprise,Didn’t expect such a good product at this price
disgust,Customer service behavior was disgusting
surprise,Didn’t expect it to deliver so fast
fear,Afraid of getting fake products
surprise,"Got a free gift, wow!"
joy,"Quality was superb, totally worth the money"
sadness,Seller sent the wrong item
joy,App experience was great and smooth
surprise,Packaging was unexpectedly good
neutral,Neither good nor bad
disgust,The product was disgusting to look at
sadness,Very disappointed with this order
neutral,The service was fine
joy,"The product was amazing, I loved it"
anger,Replacement process was super slow
joy,Customer care was very helpful
fear,Scared of losing money online
surprise,Product turned out better than reviews
disgust,Product was dirty and unhygienic
surprise,Product turned out better than reviews
anger,Customer support was useless
shame,Felt ashamed for ordering such a cheap product
anger,Felt like I was being cheated
surprise,Discount was shocking but awesome
fear,Feels risky to share card details
neutral,Neither good nor bad
shame,Even writing this review feels embarrassing
disgust,Customer service behavior was disgusting
sadness,Product didn’t look like the photo
shame,Felt stupid calling customer care for this
sadness,"No refund, very upsetting"
neutral,Could have been a bit better
shame,Felt embarrassed using it
sadness,Customer care ignored my issue
shame,Felt ashamed for ordering such a cheap product
fear,Scared of losing money online
surprise,Didn’t expect it to deliver so fast
neutral,Delivered on time
joy,App experience was great and smooth
fear,"Payment got stuck, I panicked"
surprise,Product quality surprised me
shame,Felt awkward returning it
surprise,Discount was shocking but awesome
shame,Realized I made a bad purchase decision
fear,Scared of losing money online
shame,Felt embarrassed using it
fear,The delivery guy looked suspicious
neutral,An average experience overall
disgust,Customer service behavior was disgusting
surprise,Packaging was unexpectedly good
anger,Replacement process was super slow
neutral,The service was fine
disgust,Fake reviews made me sick
shame,Realized I made a bad purchase decision
anger,Seller sent the wrong product
fear,I feared my transaction might fail
disgust,"Food item was stale, absolutely terrible"
joy,Did not expect such a good product
neutral,Delivered on time
neutral,Didn’t face any issue
neutral,The product was okay
joy,Service made me really happy
disgust,Product was dirty and unhygienic
disgust,Customer service behavior was disgusting
shame,Felt ashamed for ordering such a cheap product
joy,"The product was amazing, I loved it"
neutral,Neither good nor bad
shame,"People made fun of my choice, I felt ashamed"
joy,Did not expect such a good product
neutral,Nothing special about it
surprise,Product turned out better than reviews
disgust,Customer service behavior was disgusting
fear,The delivery guy looked suspicious
neutral,Could have been a bit better
sadness,"The item arrived broken, felt sad"
joy,"Great quality, will recommend to others"
neutral,App interface is okay
shame,Felt embarrassed using it
joy,Did not expect such a good product
shame,Felt ashamed for ordering such a cheap product
surprise,Didn’t expect it to deliver so fast
shame,"Product failed in front of friends, so embarrassing"
sadness,My money got wasted
neutral,App interface is okay
joy,"Delivered on time, very happy"
surprise,Didn’t expect such a good product at this price
surprise,Product turned out better than reviews
surprise,The whole process was smoother than I thought
anger,Customer support was useless
surprise,Didn’t expect it to deliver so fast
sadness,Customer care ignored my issue
shame,"Product failed in front of friends, so embarrassing"
anger,"App keeps crashing, very irritating"
joy,Did not expect such a good product
sadness,"No refund, very upsetting"
sadness,Product didn’t look like the photo
sadness,Product didn’t look like the photo
anger,Packaging was damaged
surprise,Product turned out better than reviews
anger,Replacement process was super slow
disgust,Felt nauseous after opening the package
anger,"App keeps crashing, very irritating"
disgust,Product was dirty and unhygienic
anger,Packaging was damaged
shame,"People made fun of my choice, I felt ashamed"
anger,Seller sent the wrong product
sadness,Seller sent the wrong item
shame,Felt awkward returning it
disgust,Customer service behavior was disgusting
disgust,"Quality was horrible, felt gross"
neutral,Could have been a bit better
anger,Packaging was damaged
joy,"Great quality, will recommend to others"
joy,"Delivered on time, very happy"
joy,App experience was great and smooth
disgust,Seems like someone used this before
joy,"The product was amazing, I loved it"
anger,Packaging was damaged
fear,I feared my transaction might fail
sadness,Product didn’t look like the photo
disgust,"Parcel smelled awful, pathetic experience"
disgust,"Parcel smelled awful, pathetic experience"
sadness,"The item arrived broken, felt sad"
surprise,The whole process was smoother than I thought
sadness,"The item arrived broken, felt sad"
anger,"Didn't get my refund, so frustrating"
disgust,Customer service behavior was disgusting
anger,Felt like I was being cheated
surprise,Impressed by the app design
fear,I feared my transaction might fail
surprise,Packaging was unexpectedly good
joy,Customer care was very helpful
fear,Feels risky to share card details
shame,"People made fun of my choice, I felt ashamed"
shame,"Product failed in front of friends, so embarrassing"
surprise,Product quality surprised me
neutral,Could have been a bit better
anger,Customer support was useless
shame,Felt stupid calling customer care for this
shame,"People made fun of my choice, I felt ashamed"
surprise,Packaging was unexpectedly good
joy,"Delivered on time, very happy"
fear,I feared my transaction might fail
disgust,Customer service behavior was disgusting
shame,"Accidentally posted a review, felt awkward"
surprise,Product turned out better than reviews
anger,"Delivery was very late, really angry"
disgust,The product was disgusting to look at
disgust,Product was dirty and unhygienic
sadness,Didn't get the expected quality
anger,"App keeps crashing, very irritating"
disgust,Felt nauseous after opening the package
joy,Did not expect such a good product
fear,Was worried about being scammed
disgust,Customer service behavior was disgusting
anger,"Didn't get my refund, so frustrating"
sadness,My money got wasted
disgust,The product was disgusting to look at
surprise,Impressed by the app design
disgust,Seems like someone used this before
sadness,Very disappointed with this order
disgust,"Quality was horrible, felt gross"
shame,Felt stupid calling customer care for this
surprise,"Got a free gift, wow!"
fear,The delivery guy looked suspicious
sadness,Didn't get the expected quality
joy,Service made me really happy
surprise,Product turned out better than reviews
surprise,"Got a free gift, wow!"
disgust,Felt nauseous after opening the package
joy,"Great quality, will recommend to others"
fear,Scared of losing money online
joy,App experience was great and smooth
anger,"Product turned out defective, so mad"
neutral,Nothing special about it
disgust,"Quality was horrible, felt gross"
neutral,Nothing special about it
joy,"Got a discount, made my day"
joy,"Delivered on time, very happy"
fear,Afraid of getting fake products
surprise,The whole process was smoother than I thought
fear,"Payment got stuck, I panicked"
shame,Even writing this review feels embarrassing
disgust,Product was dirty and unhygienic
anger,Customer support was useless
joy,"Delivered on time, very happy"
shame,Felt stupid calling customer care for this
joy,"Delivered on time, very happy"
anger,Replacement process was super slow
joy,"Got a discount, made my day"
joy,"Quality was superb, totally worth the money"
surprise,Didn’t expect it to deliver so fast
joy,Service made me really happy
anger,"App keeps crashing, very irritating"
joy,"Great quality, will recommend to others"
fear,The delivery guy looked suspicious
surprise,Product quality surprised me
anger,Packaging was damaged
surprise,"Got a free gift, wow!"
anger,Replacement process was super slow
fear,Scared of losing money online
sadness,"No refund, very upsetting"
shame,"People made fun of my choice, I felt ashamed"
fear,I feared my transaction might fail
disgust,Smelled so bad I couldn’t use it
fear,Scared of losing money online
shame,"Product failed in front of friends, so embarrassing"
neutral,The product was okay
disgust,Smelled so bad I couldn’t use it
neutral,The product was okay
anger,"App keeps crashing, very irritating"
joy,Customer care was very helpful
anger,"Didn't get my refund, so frustrating"
surprise,Product quality surprised me
surprise,"Delivery guy was polite, nice surprise"
anger,"App keeps crashing, very irritating"
sadness,Customer care ignored my issue
anger,Felt like I was being cheated
shame,Felt embarrassed using it
anger,Felt like I was being cheated
joy,App experience was great and smooth
anger,"Product turned out defective, so mad"
joy,"Delivered on time, very happy"
sadness,Customer care ignored my issue
anger,"Didn't get my refund, so frustrating"
fear,"Payment got stuck, I panicked"
anger,"App keeps crashing, very irritating"
shame,"People made fun of my choice, I felt ashamed"
surprise,Impressed by the app design
fear,Feels risky to share card details
disgust,The product was disgusting to look at
neutral,Could have been a bit better
neutral,Overall it’s fine
joy,"Quality was superb, totally worth the money"
fear,Ordering for the first time felt risky
neutral,Delivered on time
anger,"Delivery was very late, really angry"
neutral,App interface is okay
sadness,"No refund, very upsetting"
joy,Customer care was very helpful
shame,Felt stupid calling customer care for this
fear,Ordering for the first time felt risky
disgust,Product was dirty and unhygienic
joy,Packaging made me smile
sadness,Very disappointed with this order
sadness,Customer care ignored my issue
neutral,App interface is okay
joy,"Quality was superb, totally worth the money"
shame,"People made fun of my choice, I felt ashamed"
sadness,"No refund, very upsetting"
fear,Scared of losing money online
sadness,"The item arrived broken, felt sad"
sadness,Very disappointed with this order
disgust,"Parcel smelled awful, pathetic experience"
anger,"Product turned out defective, so mad"
fear,Thought the product might be duplicate
neutral,Didn’t face any issue
anger,The service was terrible
anger,Packaging was damaged
neutral,The service was fine
surprise,Packaging was unexpectedly good
neutral,Delivered on time
neutral,Delivered on time
joy,"Quality was superb, totally worth the money"
disgust,Customer service behavior was disgusting
anger,"App keeps crashing, very irritating"
neutral,Nothing special about it
neutral,Could have been a bit better
joy,"Quality was superb, totally worth the money"
sadness,Regret buying this product
surprise,"Got a free gift, wow!"
sadness,Regret buying this product
joy,Customer care was very helpful
fear,Ordering for the first time felt risky
shame,"Accidentally posted a review, felt awkward"
anger,"Didn't get my refund, so frustrating"
fear,Ordering for the first time felt risky
fear,Ordering for the first time felt risky
sadness,"No refund, very upsetting"
neutral,The service was fine
disgust,Seems like someone used this before
fear,Afraid of getting fake products
surprise,Didn’t expect it to deliver so fast
joy,Service made me really happy
shame,"Accidentally posted a review, felt awkward"
anger,"Product turned out defective, so mad"
fear,Ordering for the first time felt risky
surprise,Didn’t expect it to deliver so fast
shame,Felt awkward returning it
shame,This purchase makes me feel dumb
surprise,Didn’t expect it to deliver so fast
shame,"Product failed in front of friends, so embarrassing"
neutral,Nothing special about it
surprise,"Got a free gift, wow!"
joy,"Quality was superb, totally worth the money"
anger,"Product turned out defective, so mad"
neutral,The service was fine
anger,"Didn't get my refund, so frustrating"
shame,Felt ashamed for ordering such a cheap product
shame,Even writing this review feels embarrassing
anger,Packaging was damaged
surprise,"Got a free gift, wow!"
disgust,"Quality was horrible, felt gross"
fear,Thought the product might be duplicate
neutral,Didn’t face any issue
disgust,"Parcel smelled awful, pathetic experience"
surprise,Didn’t expect such a good product at this price
sadness,Waited a lot but order got cancelled
surprise,Packaging was unexpectedly good
joy,Service made me really happy
shame,Even writing this review feels embarrassing
fear,I always feel nervous ordering online
neutral,Didn’t face any issue
sadness,Very disappointed with this order
surprise,"Delivery guy was polite, nice surprise"
anger,"Delivery was very late, really angry"
shame,"People made fun of my choice, I felt ashamed"
anger,Seller sent the wrong product
shame,Felt stupid calling customer care for this
neutral,App interface is okay
sadness,Regret buying this product
surprise,The whole process was smoother than I thought
sadness,Customer care ignored my issue
neutral,An average experience overall
disgust,Product was dirty and unhygienic
shame,Felt embarrassed using it
anger,Replacement process was super slow
anger,"App keeps crashing, very irritating"
surprise,Product quality surprised me
fear,Was worried about being scammed
fear,The delivery guy looked suspicious
surprise,"Delivery guy was polite, nice surprise"
sadness,My money got wasted
joy,Did not expect such a good product
joy,Did not expect such a good product
shame,Felt embarrassed using it
fear,Was worried about being scammed
disgust,"Parcel smelled awful, pathetic experience"
neutral,An average experience overall
disgust,Product was dirty and unhygienic
neutral,Didn’t face any issue
fear,I always feel nervous ordering online
surprise,Product turned out better than reviews
shame,Felt awkward returning it
joy,"Got a discount, made my day"
disgust,Smelled so bad I couldn’t use it
joy,App experience was great and smooth
sadness,"The item arrived broken, felt sad"
sadness,"No refund, very upsetting"
fear,Feels risky to share card details
joy,Did not expect such a good product
fear,Ordering for the first time felt risky
fear,The delivery guy looked suspicious
neutral,Nothing special about it
disgust,Seems like someone used this before
surprise,Impressed by the app design
joy,"Quality was superb, totally worth the money"
disgust,Smelled so bad I couldn’t use it
neutral,Neither good nor bad
fear,I feared my transaction might fail
fear,The delivery guy looked suspicious
disgust,Product was dirty and unhygienic
neutral,Didn’t face any issue
joy,Did not expect such a good product
shame,Even writing this review feels embarrassing
disgust,"Quality was horrible, felt gross"
surprise,"Delivery guy was polite, nice surprise"
neutral,Overall it’s fine
surprise,Discount was shocking but awesome
surprise,"Got a free gift, wow!"
anger,"App keeps crashing, very irritating"
shame,Felt awkward returning it
shame,"Friends ke saamne product fail ho gaya, embarrassing"
neutral,"Mujhe koi issue nahi hua, but not impressive"
fear,Delivery boy se thoda insecure feel hua
disgust,"Packaging sticky thi, bilkul pasand nahi aaya"
surprise,"Discount itna bada tha, believe nahi hua"
fear,"First time order kar raha tha, nervous tha"
shame,Return karte hue awkward feel hua
neutral,"Customer care thik tha, nothing extraordinary"
neutral,"Mujhe koi issue nahi hua, but not impressive"
sadness,"Itna wait karke bhi cancel kar diya, dil se udaas ho gaya"
surprise,Review ke hisaab se zyada accha nikla
anger,"Service pathetic thi, zero satisfaction"
disgust,Mujhe laga kisi ne pehle use karke bheja hai
sadness,Mujhe lagta hai ye mera worst purchase tha
disgust,"Packaging sticky thi, bilkul pasand nahi aaya"
fear,"Return process risky lag raha tha, trust nahi hua"
anger,"Customer care bilkul bakwas tha, koi help nahi mili"
shame,"Friends ke saamne product fail ho gaya, embarrassing"
surprise,Product quality dekh kar pleasantly surprised hua
disgust,"Product dekh ke ghin aa gayi, bilkul cheap quality"
neutral,"Customer care thik tha, nothing extraordinary"
sadness,Mujhe lagta hai ye mera worst purchase tha
surprise,Review ke hisaab se zyada accha nikla
sadness,Mujhe lagta hai ye mera worst purchase tha
shame,Return karte hue awkward feel hua
disgust,Mujhe laga kisi ne pehle use karke bheja hai
disgust,Customer care ka behavior disgusting tha
fear,Online order karte hue hamesha darr lagta hai
disgust,"Packaging sticky thi, bilkul pasand nahi aaya"
surprise,Product quality dekh kar pleasantly surprised hua
shame,Review likhte hue bhi awkward lag raha hai
anger,"Customer care bilkul bakwas tha, koi help nahi mili"
shame,Product use karte hue sharam aayi
shame,Product use karte hue sharam aayi
joy,"Product bahut accha tha, main khush ho gaya"
anger,Mujhe laga company fraud kar rahi hai
joy,"Bohot achha laga ye purchase, value for money"
shame,Customer care ko call karte hue embarrass feel hua
shame,Review likhte hue bhi awkward lag raha hai
shame,"Logo ne mazak udaya, feel hua regret"
fear,Delivery boy se thoda insecure feel hua
fear,Mujhe fraud hone ka doubt tha
disgust,"Product dirty tha, safai zero thi"
neutral,Overall fine experience
joy,App ka overall experience kaafi smooth aur satisfying tha
neutral,Overall fine experience
surprise,App ka interface modern aur sleek laga
disgust,"Product dekh ke ghin aa gayi, bilkul cheap quality"
fear,Delivery boy se thoda insecure feel hua
surprise,"Itni kam price me itna accha product, unbelievable"
anger,"Service pathetic thi, zero satisfaction"
joy,"Itna accha product expect nahi kiya tha, pleasantly surprised"
fear,Online order karte hue hamesha darr lagta hai
sadness,"Itna wait karke bhi cancel kar diya, dil se udaas ho gaya"
joy,App ka overall experience kaafi smooth aur satisfying tha
fear,"Transaction fail hone ka darr tha, tension ho gayi"
disgust,"Packaging sticky thi, bilkul pasand nahi aaya"
fear,"Payment stuck ho gaya tha, panic ho gaya"
fear,"First time order kar raha tha, nervous tha"
neutral,"Mujhe koi issue nahi hua, but not impressive"
disgust,"Parcel kholte hi bad smell aayi, disgusting experience"
neutral,"Experience neutral tha, na acha na bura"
surprise,"Process bohot smooth tha, amazed ho gaya"
shame,Itna cheap product order karke sharam aayi
shame,"Lagta hai maine galat decision liya, stupid lag raha hai"
anger,"Delivery bahut late aayi, literally irritate kar diya"
surprise,"Process bohot smooth tha, amazed ho gaya"
anger,Mujhe laga company fraud kar rahi hai
surprise,App ka interface modern aur sleek laga
shame,Product use karte hue sharam aayi
neutral,"Customer care thik tha, nothing extraordinary"
sadness,"Quality expected jaisi nahi thi, bura laga"
joy,"Product bahut accha tha, main khush ho gaya"
sadness,"Item broken aaya, dil toot gaya"
surprise,"Packaging kaafi premium thi, wow feel hua"
fear,"Transaction fail hone ka darr tha, tension ho gayi"
anger,"Service pathetic thi, zero satisfaction"
sadness,"Quality expected jaisi nahi thi, bura laga"
shame,"Logo ne mazak udaya, feel hua regret"
sadness,"Service slow thi, mann kharab ho gaya"
disgust,Customer care ka behavior disgusting tha
anger,"Product defective nikla, totally unacceptable"
neutral,"Customer care thik tha, nothing extraordinary"
joy,"Bohot achha laga ye purchase, value for money"
surprise,"Itna fast deliver hua, shock lag gaya"
shame,Is product ko recommend karna bhi awkward hai
sadness,"Service slow thi, mann kharab ho gaya"
anger,"Packaging toot gayi thi, bohot gussa aaya"
fear,Online order karte hue hamesha darr lagta hai
sadness,"Customer care ne ignore kar diya, bura laga"
joy,"Bohot achha laga ye purchase, value for money"
disgust,"Packaging sticky thi, bilkul pasand nahi aaya"
surprise,"Itni kam price me itna accha product, unbelievable"
anger,"Product defective nikla, totally unacceptable"
fear,"Payment stuck ho gaya tha, panic ho gaya"
neutral,"Experience neutral tha, na acha na bura"
neutral,"Service sahi thi, par kuch khas nahi"
surprise,App ka interface modern aur sleek laga
disgust,Customer care ka behavior disgusting tha
surprise,"Itni kam price me itna accha product, unbelievable"
